,Detector Type,Descriptor Type,Matcher Type,Selector Type,ttcLidar,ttcCamera
14,SIFT,BRISK,MAT_FLANN,SEL_KNN,9.51552,8.72712
15,SIFT,BRISK,MAT_FLANN,SEL_KNN,9.61241,9.5271
16,SIFT,BRISK,MAT_FLANN,SEL_KNN,8.3988,9.32687
0,SIFT,FREAK,MAT_FLANN,SEL_NN,12.6142,24.3936
1,SIFT,FREAK,MAT_FLANN,SEL_NN,14.091,50.2669
2,SIFT,FREAK,MAT_FLANN,SEL_NN,16.6894,-0.6364890000000001
3,SIFT,FREAK,MAT_FLANN,SEL_NN,15.7465,242.364
4,SIFT,FREAK,MAT_FLANN,SEL_NN,12.7835,-0.285697
5,SIFT,FREAK,MAT_FLANN,SEL_NN,11.9844,-0.295639
6,SIFT,FREAK,MAT_FLANN,SEL_NN,13.1241,-0.927657
7,SIFT,FREAK,MAT_FLANN,SEL_NN,13.0241,-5.04418
8,SIFT,FREAK,MAT_FLANN,SEL_NN,11.1746,-0.6862020000000001
9,SIFT,FREAK,MAT_FLANN,SEL_NN,12.8086,-1.66385
10,SIFT,FREAK,MAT_FLANN,SEL_NN,8.95978,-10.6548
11,SIFT,FREAK,MAT_FLANN,SEL_NN,9.96439,13.5733
12,SIFT,FREAK,MAT_FLANN,SEL_NN,9.59863,13.1082
13,SIFT,FREAK,MAT_FLANN,SEL_NN,8.52157,-0.366163
14,SIFT,FREAK,MAT_FLANN,SEL_NN,9.51552,-40.6957
15,SIFT,FREAK,MAT_FLANN,SEL_NN,9.61241,11.2387
16,SIFT,FREAK,MAT_FLANN,SEL_NN,8.3988,39.3124
0,BRISK,FREAK,MAT_FLANN,SEL_KNN,12.6142,23.5139
1,BRISK,FREAK,MAT_FLANN,SEL_KNN,14.091,14.0744
2,BRISK,FREAK,MAT_FLANN,SEL_KNN,16.6894,14.6534
3,BRISK,FREAK,MAT_FLANN,SEL_KNN,15.7465,22.8032
4,BRISK,FREAK,MAT_FLANN,SEL_KNN,12.7835,16.8336
5,BRISK,FREAK,MAT_FLANN,SEL_KNN,11.9844,15.5199
6,BRISK,FREAK,MAT_FLANN,SEL_KNN,13.1241,18.33
7,BRISK,FREAK,MAT_FLANN,SEL_KNN,13.0241,15.4585
8,BRISK,FREAK,MAT_FLANN,SEL_KNN,11.1746,13.7623
9,BRISK,FREAK,MAT_FLANN,SEL_KNN,12.8086,12.7313
10,BRISK,FREAK,MAT_FLANN,SEL_KNN,8.95978,11.269
11,BRISK,FREAK,MAT_FLANN,SEL_KNN,9.96439,11.3941
12,BRISK,FREAK,MAT_FLANN,SEL_KNN,9.59863,11.2969
13,BRISK,FREAK,MAT_FLANN,SEL_KNN,8.52157,13.1168
14,BRISK,FREAK,MAT_FLANN,SEL_KNN,9.51552,10.3718
15,BRISK,FREAK,MAT_FLANN,SEL_KNN,9.61241,9.33041
16,BRISK,FREAK,MAT_FLANN,SEL_KNN,8.3988,11.0962
0,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,12.6142,13.5031
1,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,14.091,11.272
2,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,16.6894,12.671
3,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,15.7465,12.6318
4,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,12.7835,15.1537
5,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,11.9844,13.067
6,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,13.1241,12.9348
7,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,13.0241,12.1911
8,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,11.1746,13.199000000000002
9,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,12.8086,11.3412
10,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,8.95978,12.2727
11,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,9.96439,12.6681
12,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,9.59863,11.5384
13,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,8.52157,10.9493
14,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,9.51552,11.3153
15,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,9.61241,10.9094
16,SHITOMASI,FREAK,MAT_FLANN,SEL_KNN,8.3988,7.87897
0,BRISK,BRIEF,MAT_FLANN,SEL_NN,12.6142,26.3919
1,BRISK,BRIEF,MAT_FLANN,SEL_NN,14.091,13.207
2,BRISK,BRIEF,MAT_FLANN,SEL_NN,16.6894,25.2376
3,BRISK,BRIEF,MAT_FLANN,SEL_NN,15.7465,28.0545
4,BRISK,BRIEF,MAT_FLANN,SEL_NN,12.7835,23.9741
5,BRISK,BRIEF,MAT_FLANN,SEL_NN,11.9844,21.2838
6,BRISK,BRIEF,MAT_FLANN,SEL_NN,13.1241,22.0276
7,BRISK,BRIEF,MAT_FLANN,SEL_NN,13.0241,16.8923
8,BRISK,BRIEF,MAT_FLANN,SEL_NN,11.1746,15.1879
9,BRISK,BRIEF,MAT_FLANN,SEL_NN,12.8086,12.205
10,BRISK,BRIEF,MAT_FLANN,SEL_NN,8.95978,15.3997
11,BRISK,BRIEF,MAT_FLANN,SEL_NN,9.96439,14.6545
12,BRISK,BRIEF,MAT_FLANN,SEL_NN,9.59863,10.6695
13,BRISK,BRIEF,MAT_FLANN,SEL_NN,8.52157,12.5334
14,BRISK,BRIEF,MAT_FLANN,SEL_NN,9.51552,14.2406
15,BRISK,BRIEF,MAT_FLANN,SEL_NN,9.61241,11.4484
16,BRISK,BRIEF,MAT_FLANN,SEL_NN,8.3988,10.3266
0,ORB,ORB,MAT_FLANN,SEL_KNN,15.7465,29.0177
1,ORB,ORB,MAT_FLANN,SEL_KNN,12.7835,-inf
2,ORB,ORB,MAT_FLANN,SEL_KNN,11.9844,-inf
3,ORB,ORB,MAT_FLANN,SEL_KNN,13.1241,9.44631
4,ORB,ORB,MAT_FLANN,SEL_KNN,13.0241,18.651
5,ORB,ORB,MAT_FLANN,SEL_KNN,11.1746,23.3467
6,ORB,ORB,MAT_FLANN,SEL_KNN,12.8086,9.15809
7,ORB,ORB,MAT_FLANN,SEL_KNN,8.95978,30.4577
8,ORB,ORB,MAT_FLANN,SEL_KNN,9.96439,9.77565
9,ORB,ORB,MAT_FLANN,SEL_KNN,9.59863,9.64414
10,ORB,ORB,MAT_FLANN,SEL_KNN,8.52157,12.6741
11,ORB,ORB,MAT_FLANN,SEL_KNN,9.61241,12.8853
0,BRISK,FREAK,MAT_FLANN,SEL_NN,12.6142,-inf
1,BRISK,FREAK,MAT_FLANN,SEL_NN,14.091,27.4865
2,BRISK,FREAK,MAT_FLANN,SEL_NN,16.6894,29.3055
3,BRISK,FREAK,MAT_FLANN,SEL_NN,15.7465,51.1155
4,BRISK,FREAK,MAT_FLANN,SEL_NN,12.7835,16.9881
5,BRISK,FREAK,MAT_FLANN,SEL_NN,11.9844,36.8214
6,BRISK,FREAK,MAT_FLANN,SEL_NN,13.1241,29.5532
7,BRISK,FREAK,MAT_FLANN,SEL_NN,13.0241,19.3146
8,BRISK,FREAK,MAT_FLANN,SEL_NN,11.1746,21.6279
9,BRISK,FREAK,MAT_FLANN,SEL_NN,12.8086,15.8498
10,BRISK,FREAK,MAT_FLANN,SEL_NN,8.95978,25.4388
11,BRISK,FREAK,MAT_FLANN,SEL_NN,9.96439,19.1883
12,BRISK,FREAK,MAT_FLANN,SEL_NN,9.59863,14.5909
13,BRISK,FREAK,MAT_FLANN,SEL_NN,8.52157,14.3582
14,BRISK,FREAK,MAT_FLANN,SEL_NN,9.51552,16.862000000000002
15,BRISK,FREAK,MAT_FLANN,SEL_NN,9.61241,9.83015
16,BRISK,FREAK,MAT_FLANN,SEL_NN,8.3988,15.4182
0,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,12.6142,-13.9588
1,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,14.091,-420.29
2,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,16.6894,-0.374413
3,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,15.7465,-inf
4,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,12.7835,-inf
5,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,11.9844,-279.439
6,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,13.1241,-0.5281710000000001
7,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,13.0241,-inf
8,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,11.1746,-0.861244
9,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,12.8086,-2.3384099999999997
10,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,8.95978,43.9534
11,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,9.96439,-0.624296
12,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,9.59863,684.5
13,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,8.52157,12.0506
14,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,9.51552,-0.233143
15,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,9.61241,-3.20819
16,SHITOMASI,BRISK,MAT_FLANN,SEL_NN,8.3988,13.2708
0,FAST,SIFT,MAT_FLANN,SEL_NN,12.5156,12.363
1,FAST,SIFT,MAT_FLANN,SEL_NN,12.6142,12.4167
2,FAST,SIFT,MAT_FLANN,SEL_NN,14.091,17.2097
3,FAST,SIFT,MAT_FLANN,SEL_NN,16.6894,14.338
4,FAST,SIFT,MAT_FLANN,SEL_NN,15.7465,18.2744
5,FAST,SIFT,MAT_FLANN,SEL_NN,12.7835,13.6962
6,FAST,SIFT,MAT_FLANN,SEL_NN,11.9844,13.6059
7,FAST,SIFT,MAT_FLANN,SEL_NN,13.1241,13.6511
8,FAST,SIFT,MAT_FLANN,SEL_NN,13.0241,12.4087
9,FAST,SIFT,MAT_FLANN,SEL_NN,11.1746,13.1647
10,FAST,SIFT,MAT_FLANN,SEL_NN,12.8086,11.5887
11,FAST,SIFT,MAT_FLANN,SEL_NN,8.95978,11.7438
12,FAST,SIFT,MAT_FLANN,SEL_NN,9.96439,11.6909
13,FAST,SIFT,MAT_FLANN,SEL_NN,9.59863,11.14
14,FAST,SIFT,MAT_FLANN,SEL_NN,8.52157,10.592
15,FAST,SIFT,MAT_FLANN,SEL_NN,9.51552,10.4963
16,FAST,SIFT,MAT_FLANN,SEL_NN,9.61241,10.3629
17,FAST,SIFT,MAT_FLANN,SEL_NN,8.3988,11.084000000000001
0,SIFT,BRISK,MAT_FLANN,SEL_NN,12.6142,35.9898
1,SIFT,BRISK,MAT_FLANN,SEL_NN,14.091,175.215
2,SIFT,BRISK,MAT_FLANN,SEL_NN,16.6894,-0.283202
3,SIFT,BRISK,MAT_FLANN,SEL_NN,15.7465,-0.768964
4,SIFT,BRISK,MAT_FLANN,SEL_NN,12.7835,-0.5707979999999999
5,SIFT,BRISK,MAT_FLANN,SEL_NN,11.9844,-0.324292
6,SIFT,BRISK,MAT_FLANN,SEL_NN,13.1241,35.1354
7,SIFT,BRISK,MAT_FLANN,SEL_NN,13.0241,35.0114
8,SIFT,BRISK,MAT_FLANN,SEL_NN,11.1746,24.5876
9,SIFT,BRISK,MAT_FLANN,SEL_NN,12.8086,173.82299999999998
10,SIFT,BRISK,MAT_FLANN,SEL_NN,8.95978,19.8675
11,SIFT,BRISK,MAT_FLANN,SEL_NN,9.96439,-0.328733
12,SIFT,BRISK,MAT_FLANN,SEL_NN,9.59863,-0.60128
13,SIFT,BRISK,MAT_FLANN,SEL_NN,8.52157,-0.784853
14,SIFT,BRISK,MAT_FLANN,SEL_NN,9.51552,20.3237
15,SIFT,BRISK,MAT_FLANN,SEL_NN,9.61241,10.8726
16,SIFT,BRISK,MAT_FLANN,SEL_NN,8.3988,14.7252
0,FAST,SIFT,MAT_BF,SEL_NN,12.6142,12.1821
1,FAST,SIFT,MAT_BF,SEL_NN,14.091,15.8869
2,FAST,SIFT,MAT_BF,SEL_NN,16.6894,14.3528
3,FAST,SIFT,MAT_BF,SEL_NN,15.7465,16.7488
4,FAST,SIFT,MAT_BF,SEL_NN,12.7835,13.2684
5,FAST,SIFT,MAT_BF,SEL_NN,11.9844,13.7176
6,FAST,SIFT,MAT_BF,SEL_NN,13.1241,14.1072
7,FAST,SIFT,MAT_BF,SEL_NN,13.0241,12.3686
8,FAST,SIFT,MAT_BF,SEL_NN,11.1746,12.6422
9,FAST,SIFT,MAT_BF,SEL_NN,12.8086,11.8844
10,FAST,SIFT,MAT_BF,SEL_NN,8.95978,11.6466
11,FAST,SIFT,MAT_BF,SEL_NN,9.96439,11.7236
12,FAST,SIFT,MAT_BF,SEL_NN,9.59863,11.1055
13,FAST,SIFT,MAT_BF,SEL_NN,8.52157,10.6317
14,FAST,SIFT,MAT_BF,SEL_NN,9.51552,10.2295
15,FAST,SIFT,MAT_BF,SEL_NN,9.61241,10.4711
16,FAST,SIFT,MAT_BF,SEL_NN,8.3988,10.8713
0,BRISK,ORB,MAT_FLANN,SEL_NN,12.6142,1147.42
1,BRISK,ORB,MAT_FLANN,SEL_NN,14.091,26.9823
2,BRISK,ORB,MAT_FLANN,SEL_NN,16.6894,-42.9883
3,BRISK,ORB,MAT_FLANN,SEL_NN,15.7465,-81.5021
4,BRISK,ORB,MAT_FLANN,SEL_NN,12.7835,146.954
5,BRISK,ORB,MAT_FLANN,SEL_NN,11.9844,57.4906
6,BRISK,ORB,MAT_FLANN,SEL_NN,13.1241,53.3544
7,BRISK,ORB,MAT_FLANN,SEL_NN,13.0241,21.5376
8,BRISK,ORB,MAT_FLANN,SEL_NN,11.1746,23.2175
9,BRISK,ORB,MAT_FLANN,SEL_NN,12.8086,35.6189
10,BRISK,ORB,MAT_FLANN,SEL_NN,8.95978,17.5797
11,BRISK,ORB,MAT_FLANN,SEL_NN,9.96439,23.281999999999996
12,BRISK,ORB,MAT_FLANN,SEL_NN,9.59863,16.6694
13,BRISK,ORB,MAT_FLANN,SEL_NN,8.52157,28.7308
14,BRISK,ORB,MAT_FLANN,SEL_NN,9.51552,19.1933
15,BRISK,ORB,MAT_FLANN,SEL_NN,9.61241,13.2232
16,BRISK,ORB,MAT_FLANN,SEL_NN,8.3988,22.1416
0,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.6142,13.8102
1,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,14.091,11.7319
2,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,16.6894,13.6007
3,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,15.7465,12.3
4,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.7835,13.2703
5,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,11.9844,21.3557
6,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.1241,12.5199
7,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.0241,11.6077
8,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,11.1746,13.6717
9,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.8086,11.7805
10,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,8.95978,11.7604
11,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.96439,11.7545
12,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.59863,11.6524
13,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,8.52157,11.2953
14,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.51552,11.5174
15,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.61241,11.1869
16,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,8.3988,7.96939
0,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.6142,12.9876
1,SHITOMASI,BRISK,MAT_BF,SEL_KNN,14.091,13.2474
2,SHITOMASI,BRISK,MAT_BF,SEL_KNN,16.6894,12.8899
3,SHITOMASI,BRISK,MAT_BF,SEL_KNN,15.7465,13.4476
4,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.7835,13.5266
5,SHITOMASI,BRISK,MAT_BF,SEL_KNN,11.9844,12.7172
6,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.1241,13.712
7,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.0241,11.5126
8,SHITOMASI,BRISK,MAT_BF,SEL_KNN,11.1746,13.456
9,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.8086,11.9816
10,SHITOMASI,BRISK,MAT_BF,SEL_KNN,8.95978,11.8135
11,SHITOMASI,BRISK,MAT_BF,SEL_KNN,9.96439,12.0367
12,SHITOMASI,BRISK,MAT_BF,SEL_KNN,9.59863,11.342
13,SHITOMASI,BRISK,MAT_BF,SEL_KNN,8.52157,9.07784
14,SHITOMASI,BRISK,MAT_BF,SEL_KNN,9.51552,10.4612
15,SHITOMASI,BRISK,MAT_BF,SEL_KNN,9.61241,11.6823
16,SHITOMASI,BRISK,MAT_BF,SEL_KNN,8.3988,9.73863
0,BRISK,BRISK,MAT_FLANN,SEL_KNN,12.6142,22.43
1,BRISK,BRISK,MAT_FLANN,SEL_KNN,14.091,12.5153
2,BRISK,BRISK,MAT_FLANN,SEL_KNN,16.6894,15.3808
3,BRISK,BRISK,MAT_FLANN,SEL_KNN,15.7465,26.2333
4,BRISK,BRISK,MAT_FLANN,SEL_KNN,12.7835,19.6846
5,BRISK,BRISK,MAT_FLANN,SEL_KNN,11.9844,17.1181
6,BRISK,BRISK,MAT_FLANN,SEL_KNN,13.1241,16.0991
7,BRISK,BRISK,MAT_FLANN,SEL_KNN,13.0241,14.5039
8,BRISK,BRISK,MAT_FLANN,SEL_KNN,11.1746,13.9297
9,BRISK,BRISK,MAT_FLANN,SEL_KNN,12.8086,13.2621
10,BRISK,BRISK,MAT_FLANN,SEL_KNN,8.95978,11.3539
11,BRISK,BRISK,MAT_FLANN,SEL_KNN,9.96439,11.9867
12,BRISK,BRISK,MAT_FLANN,SEL_KNN,9.59863,12.3693
13,BRISK,BRISK,MAT_FLANN,SEL_KNN,8.52157,12.2908
14,BRISK,BRISK,MAT_FLANN,SEL_KNN,9.51552,11.405
15,BRISK,BRISK,MAT_FLANN,SEL_KNN,9.61241,9.20252
16,BRISK,BRISK,MAT_FLANN,SEL_KNN,8.3988,10.6963
0,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,12.5156,14.1113
1,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,12.6142,12.7566
2,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,14.091,11.6934
3,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,16.6894,13.33
4,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,15.7465,12.4072
5,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,12.7835,12.4764
6,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,11.9844,12.6032
7,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,13.1241,12.1376
8,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,13.0241,12.0
9,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,11.1746,13.456
10,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,12.8086,12.1076
11,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,8.95978,12.0542
12,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,9.96439,11.6575
13,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,9.59863,11.0575
14,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,8.52157,12.5287
15,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,9.51552,11.1439
16,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,9.61241,10.7884
17,SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,8.3988,9.119660000000001
0,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,12.6142,13.3275
1,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,14.091,13.2474
2,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,16.6894,13.0851
3,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,15.7465,13.5599
4,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,12.7835,13.5266
5,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,11.9844,12.9
6,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,13.1241,13.7279
7,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,13.0241,11.8904
8,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,11.1746,13.3762
9,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,12.8086,11.8507
10,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,8.95978,11.8135
11,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,9.96439,12.0367
12,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,9.59863,11.342
13,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,8.52157,9.16244
14,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,9.51552,10.4612
15,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,9.61241,11.6225
16,SHITOMASI,BRISK,MAT_FLANN,SEL_KNN,8.3988,9.64049
0,SIFT,SIFT,MAT_FLANN,SEL_KNN,12.6142,12.6526
1,SIFT,SIFT,MAT_FLANN,SEL_KNN,14.091,13.1739
2,SIFT,SIFT,MAT_FLANN,SEL_KNN,16.6894,20.4452
3,SIFT,SIFT,MAT_FLANN,SEL_KNN,15.7465,15.0466
4,SIFT,SIFT,MAT_FLANN,SEL_KNN,12.7835,11.1509
5,SIFT,SIFT,MAT_FLANN,SEL_KNN,11.9844,14.4016
6,SIFT,SIFT,MAT_FLANN,SEL_KNN,13.1241,15.7467
7,SIFT,SIFT,MAT_FLANN,SEL_KNN,13.0241,14.4625
8,SIFT,SIFT,MAT_FLANN,SEL_KNN,11.1746,10.7065
9,SIFT,SIFT,MAT_FLANN,SEL_KNN,12.8086,12.0594
10,SIFT,SIFT,MAT_FLANN,SEL_KNN,8.95978,11.3523
11,SIFT,SIFT,MAT_FLANN,SEL_KNN,9.96439,9.66342
12,SIFT,SIFT,MAT_FLANN,SEL_KNN,9.59863,10.6617
13,SIFT,SIFT,MAT_FLANN,SEL_KNN,8.52157,10.4393
14,SIFT,SIFT,MAT_FLANN,SEL_KNN,9.51552,9.74405
15,SIFT,SIFT,MAT_FLANN,SEL_KNN,9.61241,8.86875
16,SIFT,SIFT,MAT_FLANN,SEL_KNN,8.3988,8.96005
0,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,12.6142,14.3689
1,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,14.091,12.9095
2,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,16.6894,14.5112
3,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,15.7465,16.6795
4,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,12.7835,13.8544
5,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,11.9844,15.3462
6,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,13.1241,14.1378
7,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,13.0241,13.864
8,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,11.1746,11.5569
9,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,12.8086,12.1341
10,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,8.95978,11.0555
11,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,9.96439,11.2852
12,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,9.59863,10.5845
13,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,8.52157,10.2172
14,AKAZE,AKAZE,MAT_FLANN,SEL_KNN,9.51552,9.954419999999999
